,startdate,enddate,status,ipaddress,progress,duration_in_seconds,finished,recordeddate,responseid,recipientlastname,recipientfirstname,recipientemail,externalreference,locationlatitude,locationlongitude,distributionchannel,userlanguage,id,captcha,donate_3,donate_6,att_cause_1,att_cause_2,att_cause_3,att_brand_1,att_brand_2,att_brand_3,pur,sbc_4,sbc_5,sbc_6,sbc_7,sbc_8,sbc_9,sbc_10,manip,know2,know,colin,hrc_fam,explain,age,gen,polid_1,polid_2,polid_3,polit,polit_4_text,sbcavg,att_cause
1,9/4/18 16:01,9/4/18 16:03,0,71.179.234.46,100,129,1,9/4/18 16:03,R_1CymjeKKjWoD7GL,NA,NA,NA,NA,39.29040527,-76.61219788,anonymous,EN,A13GUTDMGGZZDL,qGphJD,0,10,5,5,5,3,3,3,2,10,10,11,12,11,6,7,no,0,0,0,3,identification with a brand based on their social causes,31,1,2,2,2,3,,9.571428571,5
2,9/4/18 16:01,9/4/18 16:03,0,108.56.142.120,100,134,1,9/4/18 16:03,R_R9Xctv8Q2aiw5ZD,NA,NA,NA,NA,38.93110657,-77.34889984,anonymous,EN,A0450532L5P3GX6JEY8C,qGphJD,1,9,4,4,4,5,5,5,5,50,62,47,28,48,36,44,colin kaepernick is a big athlete they sponsor,1,1,1,5,our feelings to nike and blm movement,23,1,2,2,2,3,,45,4
3,9/4/18 16:01,9/4/18 16:03,0,204.148.41.102,100,148,1,9/4/18 16:03,R_2dseY1gKirkJMuO,NA,NA,NA,NA,40.7808075,-73.97720337,anonymous,EN,ACXIMYID1BDF2,qGphJD,10,0,7,7,7,6,6,6,6,20,61,52,16,12,16,21,Yes - signing a sponsorship deal with Colin Kapaernick,1,1,1,6,Testing whether perceptions of Nike were impacted by feelings about BLM,31,2,2,2,3,3,,28.28571429,7
4,9/4/18 16:01,9/4/18 16:03,0,190.124.31.47,100,137,1,9/4/18 16:03,R_2BtIUaYpQg35ezu,NA,NA,NA,NA,8,-66,anonymous,EN,A2VS4VZ52OJUSN,qGphJD,5,5,7,7,7,7,7,7,7,65,57,78,63,86,70,88,2,0,0,1,7,VERY GOOD,30,2,7,7,7,1,,72.42857143,7
5,9/4/18 16:02,9/4/18 16:03,0,76.180.67.64,100,93,1,9/4/18 16:03,R_UZ4VswPm3PWleIF,NA,NA,NA,NA,42.92640686,-78.74790192,anonymous,EN,AAQREZOK13OV7,qGphJD,0,10,6,5,5,6,6,6,3,66,71,33,0,5,28,67,nope,0,0,1,4,not sure,29,1,2,1,2,3,,38.57142857,5.333333333
6,9/4/18 16:01,9/4/18 16:03,0,50.200.218.218,100,135,1,9/4/18 16:03,R_3stwLtV6fnH42T1,NA,NA,NA,NA,39.84739685,-104.9459,anonymous,EN,A3LCGBIZQGRGZR,qGphJD,0,10,7,7,7,7,7,7,7,65,70,80,50,50,65,85,Colin Kapernick getting a new deal for an ad campaign,1,1,1,6,The awareness of resent news to attitudes of Black Lives Matter and Nike.,31,2,1,1,1,3,,66.42857143,7
7,9/4/18 16:01,9/4/18 16:03,0,47.37.52.253,100,161,1,9/4/18 16:03,R_3JxSHikxLScKTdX,NA,NA,NA,NA,46.16119385,-114.1400986,anonymous,EN,A14UUJMRQ6ULRV,qGphJD,0,10,5,5,5,6,6,7,3,60,60,71,77,66,58,86,I have not heard any recent news about Nike,0,0,0,6,I have no clue,42,2,3,2,5,2,,68.28571429,5
8,9/4/18 16:01,9/4/18 16:03,0,67.60.195.71,100,145,1,9/4/18 16:03,R_1mxb8wq6PDjZWYP,NA,NA,NA,NA,34.80580139,-96.70459747,anonymous,EN,A59UJYVC0QQAV,qGphJD,2,8,5,5,5,5,5,5,5,34,44,35,37,35,39,44,That they just signed a deal with Colin Kaepernick,1,1,1,5,How people perceived Nike based on how they perceived BLM,35,1,4,2,5,2,,38.28571429,5
9,9/4/18 16:01,9/4/18 16:03,0,104.131.19.173,100,136,1,9/4/18 16:03,R_3nNoDA9iFInMuEB,NA,NA,NA,NA,40.72669983,-73.99810028,anonymous,EN,A1ZG7JH0A3NS5,qGphJD,6,4,6,6,6,7,6,7,5,60,55,69,74,66,68,71,none,0,0,0,5,simple selection,28,1,5,5,6,1,,66.14285714,6
10,9/4/18 16:01,9/4/18 16:04,0,73.173.228.88,100,161,1,9/4/18 16:04,R_1g25uKsgvQ2Mklq,NA,NA,NA,NA,39.13169861,-77.28800201,anonymous,EN,ALVNMQMD3Q3ZE,qGphJD,4,6,5,5,5,6,6,6,6,72,72,74,72,73,72,73,"They used Colin Kapernick as the face for """"just do it""""",1,1,1,5,To determine if one supports Black Live Matter.,44,1,4,4,4,2,,72.57142857,5
11,9/4/18 16:01,9/4/18 16:04,0,199.115.114.194,100,175,1,9/4/18 16:04,R_XgJwhvNFwnOs2TD,NA,NA,NA,NA,38.77009583,-77.63210297,anonymous,EN,A1KEAHVVML6319,qGphJD,0,10,7,7,7,7,7,7,6,70,71,71,74,72,70,71,none,0,0,0,7,no idea,26,2,1,1,1,3,,71.28571429,7
12,9/4/18 16:02,9/4/18 16:04,0,173.21.78.252,100,103,1,9/4/18 16:04,R_8GiBw1JjXq8rLoJ,NA,NA,NA,NA,41.76429749,-91.63259888,anonymous,EN,A14XECI3XLI39H,qGphJD,0,10,3,3,3,6,6,5,5,56,59,59,67,68,67,65,kaepernick,1,1,1,6,if we will still like nike,30,1,4,4,4,2,,63,3
13,9/4/18 16:01,9/4/18 16:04,0,72.183.179.116,100,177,1,9/4/18 16:04,R_1QDF9tU7eudbfGe,NA,NA,NA,NA,29.87289429,-98.01399994,anonymous,EN,A19P7S5OYZS61Z,qGphJD,0,10,3,3,4,6,6,6,6,40,40,11,60,61,44,71,promoting Colin Kapernick to a major marketing role,1,1,1,5,feelings to nike and race movements.,28,1,4,3,5,2,,46.71428571,3.333333333
